"timestamp","ICMP_ping","ICMP_loss","ICMP_response_time","Device_uptime","SNMP_availability","range","EX_Inbound_packets_discarded","IN_Inbound_packets_discarded","P_Inbound_packets_discarded","EX_Outbound_packets_discarded","IN_Outbound_packets_discarded","P_Outbound_packets_discarded","EX_Inbound_packets_with_errors","IN_Inbound_packets_with_errors","P_Inbound_packets_with_errors","EX_Outbound_packets_with_errors","IN_Outbound_packets_with_errors","P_Outbound_packets_with_errors","EX_Bits_sent","IN_Bits_sent","P_Bits_sent","EX_Bits_received","IN_Bits_received","P_Bits_received","EX_Speed","IN_Speed","P_Speed","EX_Interface_type","IN_Interface_type","P_Interface_type","EX_Operational_status","IN_Operational_status","P_Operational_status","class"
"1556642525","1","0","0.0095","719","1","119","-1.0","-1.0","0.0","-1.0","-2.0","-1.0","-1.0","-2.0","-1.0","-1.0","-2.0","-1.0","-1.0","-2.0","232.0","-1.0","4527.0","-1.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556642705","1","0","0.014","892","1","119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5632.0","44624.0","208.0","44456.0","4664.0","160.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556642885","1","0","0.017","1058","1","119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10800.0","101480.0","200.0","101856.0","9776.0","152.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556643065","1","0","0.0115","1224","1","119","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","11240.0","152728.0","208.0","152056.0","9168.0","152.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556643245","1","0","0.0181","1388","1","119","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0","15944.0","171296.0","200.0","169096.0","13960.0","160.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556643425","1","0","0.0081","1553","1","119","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","31896.0","79768.0","200.0","82168.0","28112.0","152.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556643605","1","0","0.0136","1717","1","119","0.0","0.0","0.0","0.0","0.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","9040.0","258608.0","200.0","258224.0","6328.0","176.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
"1556643785","1","0","0.0125","1882","1","119","0.0","0.0","0.0","0.0","0.0","0.0","1.0","7.0","0.0","0.0","0.0","0.0","18640.0","173528.0","240.0","173424.0","16112.0","192.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","D"
"1556643965","1","0","0.0172","2048","1","119","0.0","0.0","0.0","0.0","0.0","0.0","1.0","8.0","0.0","0.0","0.0","0.0","34928.0","65440.0","200.0","65296.0","31792.0","152.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","D"
"1556644145","1","0","0.0172","2213","1","119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","28392.0","104800.0","240.0","104528.0","25176.0","224.0","1.0E9","1.0E9","1.0E9","6.0","6.0","6.0","1.0","1.0","1.0","NE"
